epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,8771.38,1.10219,0.91292,1.24117,0.95104,0.85973,0.94291,0.62975,1.17808,0.63569,1.38429,0.0006635,0.0006635,0.0006635
137,8835.87,1.08461,0.90652,1.23193,0.94947,0.85031,0.94529,0.62541,1.20569,0.64568,1.41808,0.0006536,0.0006536,0.0006536
138,8900.32,1.08764,0.885,1.22071,0.90934,0.8914,0.94539,0.62665,1.18548,0.63558,1.4182,0.0006437,0.0006437,0.0006437
139,8964.53,1.07789,0.88421,1.22566,0.9551,0.86425,0.95004,0.62984,1.20821,0.61855,1.41887,0.0006338,0.0006338,0.0006338
140,9029.16,1.0837,0.88707,1.21585,0.94621,0.87563,0.95246,0.63013,1.20875,0.62577,1.43401,0.0006239,0.0006239,0.0006239
141,9093.3,1.08349,0.87919,1.23014,0.95135,0.88486,0.95118,0.62744,1.203,0.61714,1.42879,0.000614,0.000614,0.000614
142,9157.84,1.06456,0.87164,1.21466,0.95412,0.88235,0.94597,0.63006,1.18904,0.60122,1.43514,0.0006041,0.0006041,0.0006041
143,9222.29,1.07557,0.86449,1.21378,0.92928,0.86878,0.94224,0.62707,1.20312,0.62366,1.42176,0.0005942,0.0005942,0.0005942
144,9286.74,1.07002,0.86901,1.21576,0.97417,0.85343,0.94749,0.6239,1.19829,0.61676,1.41608,0.0005843,0.0005843,0.0005843
145,9351.34,1.08673,0.8871,1.23118,0.93748,0.88202,0.93776,0.62817,1.19058,0.63258,1.41816,0.0005744,0.0005744,0.0005744
146,9415.62,1.06478,0.86306,1.21639,0.94818,0.85973,0.93898,0.61793,1.1934,0.61085,1.43193,0.0005645,0.0005645,0.0005645
147,9480.3,1.06866,0.8626,1.20794,0.94686,0.84615,0.93346,0.62469,1.18618,0.6134,1.42022,0.0005546,0.0005546,0.0005546
148,9544.9,1.05603,0.85151,1.20786,0.93507,0.87783,0.94326,0.62914,1.18826,0.60566,1.41942,0.0005447,0.0005447,0.0005447
149,9609.45,1.05763,0.86427,1.20629,0.93502,0.86425,0.94924,0.62947,1.19269,0.62968,1.40792,0.0005348,0.0005348,0.0005348
150,9673.83,1.04896,0.8478,1.20612,0.94044,0.85742,0.93767,0.61332,1.2048,0.63492,1.43319,0.0005249,0.0005249,0.0005249
151,9738.32,1.03577,0.83753,1.19619,0.94775,0.85068,0.93737,0.62626,1.20267,0.65134,1.43443,0.000515,0.000515,0.000515
152,9802.82,1.05912,0.86476,1.21446,0.9362,0.86317,0.94166,0.6215,1.19808,0.63798,1.41527,0.0005051,0.0005051,0.0005051
153,9867.23,1.03717,0.83371,1.19613,0.94512,0.84163,0.93855,0.63035,1.19267,0.62712,1.41377,0.0004952,0.0004952,0.0004952
154,9931.67,1.02368,0.82591,1.18832,0.92719,0.86432,0.93656,0.62766,1.18022,0.61472,1.41745,0.0004853,0.0004853,0.0004853
155,9996.14,1.03939,0.8371,1.1974,0.92824,0.87791,0.93876,0.6347,1.16902,0.6056,1.40461,0.0004754,0.0004754,0.0004754
156,10060.8,1.01759,0.81079,1.18013,0.88454,0.90128,0.94589,0.63228,1.18877,0.63052,1.40394,0.0004655,0.0004655,0.0004655
157,10125.2,1.03494,0.82016,1.19553,0.95398,0.84416,0.94841,0.64261,1.16242,0.60378,1.39639,0.0004556,0.0004556,0.0004556
158,10189.6,1.05257,0.83164,1.20138,0.88909,0.92308,0.94661,0.63084,1.16545,0.61719,1.40213,0.0004457,0.0004457,0.0004457
159,10254,1.0259,0.81485,1.18472,0.94485,0.85277,0.94181,0.63146,1.18492,0.61589,1.40579,0.0004358,0.0004358,0.0004358
160,10318.6,1.0294,0.81285,1.18539,0.93227,0.8914,0.94143,0.62789,1.18217,0.62298,1.39893,0.0004259,0.0004259,0.0004259
161,10382.9,1.01444,0.79577,1.1766,0.93746,0.88173,0.94544,0.63311,1.18778,0.62782,1.40877,0.000416,0.000416,0.000416
162,10447.1,1.02262,0.81538,1.19647,0.95443,0.86878,0.94439,0.63422,1.17286,0.61942,1.39936,0.0004061,0.0004061,0.0004061
163,10511.6,1.00082,0.79683,1.1739,0.92647,0.8914,0.93896,0.63396,1.18629,0.61512,1.40745,0.0003962,0.0003962,0.0003962
164,10576.3,1.00107,0.80273,1.17714,0.89997,0.90498,0.94739,0.63313,1.17428,0.62371,1.40657,0.0003863,0.0003863,0.0003863
165,10640.6,1.0002,0.80212,1.17176,0.95018,0.863,0.94057,0.63025,1.15819,0.64194,1.39572,0.0003764,0.0003764,0.0003764
166,10705.1,0.9913,0.79839,1.16894,0.94089,0.86425,0.94089,0.63792,1.16426,0.62881,1.3952,0.0003665,0.0003665,0.0003665
167,10769.5,0.99475,0.79499,1.16541,0.91784,0.85928,0.93445,0.63029,1.1732,0.648,1.40845,0.0003566,0.0003566,0.0003566
168,10834,0.99743,0.78792,1.1646,0.94722,0.84615,0.94126,0.6391,1.17495,0.62339,1.4027,0.0003467,0.0003467,0.0003467
169,10898.4,0.99869,0.79541,1.17458,0.92033,0.88865,0.94323,0.63238,1.19326,0.60656,1.42191,0.0003368,0.0003368,0.0003368
170,10963.1,0.99291,0.78987,1.1678,0.96819,0.81448,0.94149,0.63387,1.17826,0.60802,1.40808,0.0003269,0.0003269,0.0003269
171,11027.6,0.98182,0.78335,1.15458,0.91051,0.8733,0.93913,0.63613,1.15825,0.61819,1.40363,0.000317,0.000317,0.000317
172,11092.2,0.97915,0.78016,1.16457,0.87732,0.90607,0.94254,0.63632,1.18145,0.61853,1.4124,0.0003071,0.0003071,0.0003071
173,11156.6,0.98393,0.78096,1.16384,0.89338,0.90498,0.93551,0.63272,1.1663,0.6136,1.39562,0.0002972,0.0002972,0.0002972
174,11221.1,0.97125,0.75616,1.15868,0.94335,0.8552,0.9393,0.63814,1.14967,0.61548,1.40135,0.0002873,0.0002873,0.0002873
175,11285.6,0.95839,0.75203,1.14686,0.90891,0.90299,0.94179,0.63591,1.14841,0.59285,1.4035,0.0002774,0.0002774,0.0002774
176,11350,0.97724,0.77165,1.16671,0.89005,0.91855,0.93926,0.64175,1.15576,0.59552,1.39969,0.0002675,0.0002675,0.0002675
